data,sad,sygnatura,wynik,charakter,przyczyna,rodzaj,opis,link,nsa_sygnatura,nsa_link,nsa_zmienil
2024-05-15,WSA w Gliwicach,III SAB/Gl 30/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Stwierdzono bezczynność Wojewody w rozpoznaniu wniosku o zezwolenie na pobyt i pracę oraz zobowiązano organ do załatwienia sprawy w terminie 30 dni (z prawomocnym wyrokiem), zasądzając też zwrot kosztów postępowania (580 zł).",https://orzeczenia.nsa.gov.pl/doc/050AF0CC1F,II OSK 2234/24,https://orzeczenia.nsa.gov.pl/doc/135071AEC6,Tak
2024-05-16,WSA w Poznaniu,IV SAB/Po 50/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Sąd zobowiązał Wojewodę do rozpoznania wniosku o zezwolenie na pobyt czasowy w terminie 60 dni oraz stwierdził bezczynność organu (bez rażącego naruszenia prawa).,https://orzeczenia.nsa.gov.pl/doc/DE9E973CD6,II OSK 2075/24,https://orzeczenia.nsa.gov.pl/doc/A5D8058FEA,Tak
2024-05-23,WSA w Gliwicach,III SAB/Gl 126/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody w sprawie wniosku o zezwolenie na pobyt czasowy w celu świadczenia pracy oraz zobowiązano organ do rozpatrzenia wniosku w terminie 60 dni od zwrotu akt. Odmówiono jednak przyznania sumy pieniężnej i/lub wymierzenia grzywny (jako żądań ubocznych).,https://orzeczenia.nsa.gov.pl/doc/EF21D19C1A,II OSK 2340/24,https://orzeczenia.nsa.gov.pl/doc/F0DC62F349,Tak
2024-05-24,WSA w Gliwicach,III SAB/Gl 137/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpatrzenia wniosku o zezwolenie na pobyt czasowy w celu świadczenia pracy w terminie 60 dni; odmówiono uwzględnienia części żądań o środki pieniężne.,https://orzeczenia.nsa.gov.pl/doc/2BFDE36356,II OSK 2591/24,https://orzeczenia.nsa.gov.pl/doc/12D4FF088F,Tak
2024-05-24,WSA w Gliwicach,III SAB/Gl 77/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody w sprawie o zezwolenie na pobyt czasowy i pracę oraz zobowiązano organ do załatwienia sprawy w terminie 30 dni od zwrotu akt; przyznanie sumy pieniężnej/grzywny nie zostało uwzględnione.,https://orzeczenia.nsa.gov.pl/doc/FA5FA8ABF9,II OSK 2239/24,https://orzeczenia.nsa.gov.pl/doc/69B8A800C3,Tak
2024-05-28,WSA w Gdańsku,III SAB/Gd 69/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Skarżący uzyskał nakaz rozpoznania wniosku o zezwolenie na pobyt czasowy oraz stwierdzenie rażącej bezczynności i zasądzenie 1 000 zł tytułem sumy pieniężnej.,https://orzeczenia.nsa.gov.pl/doc/B843E31FC5,II OSK 2138/24,https://orzeczenia.nsa.gov.pl/doc/D60B30678A,Tak
2024-05-28,WSA w Gliwicach,III SAB/Gl 148/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody i nakazał rozpatrzenie wniosku w terminie 30 dni od zwrotu akt; przyznał zwrot kosztów postępowania. Nie przyznał natomiast sumy pieniężnej ani nie wymierzył grzywny za zwłokę.,https://orzeczenia.nsa.gov.pl/doc/E6FB225CCC,II OSK 2751/24,https://orzeczenia.nsa.gov.pl/doc/E59B1FD15B,Tak
2024-05-28,WSA w Gliwicach,III SAB/Gl 157/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Uznanie bezczynności Wojewody i nakaz rozpatrzenia wniosku skarżącego w terminie 30 dni (bez przyznania żądanej sumy pieniężnej/grzywny za pozostały zakres).,https://orzeczenia.nsa.gov.pl/doc/C4ACA4B647,II OSK 2401/24,https://orzeczenia.nsa.gov.pl/doc/9068CABAE3,Tak
2024-05-28,WSA w Gliwicach,III SAB/Gl 64/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Ustalono bezczynność Wojewody oraz zobowiązano organ do rozpatrzenia wniosku o zezwolenie na pobyt czasowy i pracę w terminie 30 dni od prawomocnego zwrotu akt; przyznano zwrot kosztów postępowania.,https://orzeczenia.nsa.gov.pl/doc/758B616FE3,II OSK 2595/24,https://orzeczenia.nsa.gov.pl/doc/D984EDC660,Tak
2024-05-28,WSA w Gliwicach,III SAB/Gl 79/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody w sprawie zezwolenia na pobyt czasowy i pracę oraz zobowiązał organ do rozpatrzenia wniosku w terminie 30 dni od zwrotu akt; przyznał zwrot kosztów postępowania sądowego (580 zł).,https://orzeczenia.nsa.gov.pl/doc/150E470ED2,II OSK 2341/24,https://orzeczenia.nsa.gov.pl/doc/07734A15DA,Tak
2024-06-04,WSA w Gliwicach,III SAB/Gl 140/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody i zobowiązał go do rozpatrzenia wniosku o zezwolenie na pobyt czasowy i pracę w terminie 60 dni; zasądzono także zwrot kosztów postępowania.,https://orzeczenia.nsa.gov.pl/doc/033CC96ED0,II OSK 2592/24,https://orzeczenia.nsa.gov.pl/doc/94F8EA9C45,Tak
2024-06-04,WSA w Gliwicach,III SAB/Gl 151/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpatrzenia wniosku o zezwolenie na pobyt czasowy i pracę w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem; zasądzono też zwrot kosztów (580 zł).,https://orzeczenia.nsa.gov.pl/doc/267BABC289,II OSK 2594/24,https://orzeczenia.nsa.gov.pl/doc/CBC10EA336,Tak
2024-06-05,WSA w Gliwicach,III SAB/Gl 124/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do załatwienia wniosku w terminie 30 dni od zwrotu akt z prawomocnym wyrokiem; zasądzono zwrot kosztów postępowania.,https://orzeczenia.nsa.gov.pl/doc/EA39C5E1CA,II OSK 2338/24,https://orzeczenia.nsa.gov.pl/doc/1FB5318015,Tak
2024-06-05,WSA w Gliwicach,III SAB/Gl 164/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono przewlekłość i nakazano organowi rozpoznać wniosek o zezwolenie w terminie 30 dni; odmówiono przyznania wnioskowanej sumy pieniężnej (pozostałe żądania oddalono).,https://orzeczenia.nsa.gov.pl/doc/A653C26091,II OSK 2342/24,https://orzeczenia.nsa.gov.pl/doc/65AF5B0E16,Tak
2024-06-05,WSA w Gliwicach,III SAB/Gl 83/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Stwierdzono bezczynność Wojewody w sprawie zezwolenia na pobyt czasowy i pracę oraz zobowiązano organ do załatwienia wniosku w 30 dni; zasądzono zwrot kosztów postępowania (580 zł), bez przyznania sumy pieniężnej/grzywny.",https://orzeczenia.nsa.gov.pl/doc/9B4C46344B,II OSK 2600/24,https://orzeczenia.nsa.gov.pl/doc/88357696DF,Tak
2024-06-07,WSA w Gliwicach,III SAB/Gl 183/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Organ ma rozpatrzyć wniosek o zezwolenie na pobyt czasowy i pracę w terminie 60 dni od zwrotu akt; sąd potwierdził bezczynność Wojewody.,https://orzeczenia.nsa.gov.pl/doc/10D183239F,II OSK 2724/24,https://orzeczenia.nsa.gov.pl/doc/B5C035B745,Tak
2024-06-07,WSA w Gliwicach,III SAB/Gl 212/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody oraz zobowiązano organ do rozpatrzenia wniosku o zezwolenie na pobyt czasowy w celu pracy w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem; zasądzono też koszty postępowania sądowego (580 zł).,https://orzeczenia.nsa.gov.pl/doc/BB40F3E709,II OSK 2480/24,https://orzeczenia.nsa.gov.pl/doc/67DA201295,Tak
2024-06-18,WSA w Gliwicach,III SAB/Gl 136/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Ustalenie bezczynności Wojewody i obowiązek rozpatrzenia wniosku o zezwolenie na pobyt i pracę w terminie 30 dni od zwrotu akt z prawomocnym wyrokiem.,https://orzeczenia.nsa.gov.pl/doc/7C3C931261,II OSK 2598/24,https://orzeczenia.nsa.gov.pl/doc/0A4F793CD1,Tak
2024-06-18,WSA w Gliwicach,III SAB/Gl 239/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Skarżąca uzyskała podstawową ochronę w postaci stwierdzenia bezczynności oraz zobowiązania organu do rozpatrzenia jej wniosku o zezwolenie na pobyt czasowy w terminie 60 dni; nie zasądzono jednak żądanej sumy/grzywny.,https://orzeczenia.nsa.gov.pl/doc/FEDFA17C92,II OSK 2597/24,https://orzeczenia.nsa.gov.pl/doc/3C4F82A239,Tak
2024-06-25,WSA w Gliwicach,III SAB/Gl 114/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność organu i zobowiązał Wojewodę do rozpoznania wniosku o zezwolenie na pobyt czasowy i pracę w terminie 60 dni (oraz zasądził koszty postępowania sądowego).,https://orzeczenia.nsa.gov.pl/doc/F4357E0DFA,II OSK 2596/24,https://orzeczenia.nsa.gov.pl/doc/3EE3D4943C,Tak
2024-06-25,WSA w Gliwicach,III SAB/Gl 163/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody oraz zobowiązał go do rozpoznania wniosku w terminie 60 dni od zwrotu akt wraz z prawomocnym wyrokiem; dodatkowo zasądzono zwrot kosztów postępowania (597 zł).,https://orzeczenia.nsa.gov.pl/doc/22D3584976,II OSK 2722/24,https://orzeczenia.nsa.gov.pl/doc/5B4377BA37,Tak
2024-06-25,WSA w Gliwicach,III SAB/Gl 194/24,Pozytywny,Merytoryczny,,Pobyt czasowy,"Sąd stwierdził bezczynność Wojewody; nie uzyskała jednak sumy pieniężnej ani grzywny (oddalono żądania uboczne), a zobowiązanie organu do wydania aktu umorzono, gdy organ wydał decyzję w trakcie postępowania. Przyznano zwrot kosztów postępowania.",https://orzeczenia.nsa.gov.pl/doc/D1B731A6A5,II OSK 2481/24,https://orzeczenia.nsa.gov.pl/doc/9C59C88E0C,Tak
2024-06-25,WSA w Gliwicach,III SAB/Gl 224/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody i zobowiązał go do rozpoznania wniosku o zezwolenie na pobyt czasowy i pracę w terminie 60 dni; zasądził też koszty postępowania. Nie przyznał jednak sumy pieniężnej ani nie wymierzył grzywny z art. 149 § 2 p.p.s.a.,https://orzeczenia.nsa.gov.pl/doc/735A39DFD4,II OSK 2599/24,https://orzeczenia.nsa.gov.pl/doc/A0948EDE83,Tak
2024-06-25,WSA w Gliwicach,III SAB/Gl 98/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Uzyskał stwierdzenie bezczynności organu i obowiązek rozpoznania wniosku o zezwolenie na pobyt czasowy w terminie 60 dni (z zasądzeniem kosztów).,https://orzeczenia.nsa.gov.pl/doc/61C67D45C9,II OSK 2776/24,https://orzeczenia.nsa.gov.pl/doc/5D2AD39D4B,Tak
2024-06-25,WSA we Wrocławiu,IV SAB/Wr 334/23,Pozytywny,Merytoryczny,,Pobyt stały,"Uzyskano stwierdzenie przewlekłości postępowania w sprawie o zezwolenie na pobyt stały oraz zasądzono zwrot kosztów (597 zł); jednocześnie oddalono dalej idące żądania (m.in. sumy pieniężnej) i umorzono część dotyczącą zobowiązania organu do wydania decyzji, bo decyzję wydano w toku sprawy.",https://orzeczenia.nsa.gov.pl/doc/52C58DB707,II OSK 96/25,https://orzeczenia.nsa.gov.pl/doc/45AF2E74A1,Tak
2024-06-27,WSA we Wrocławiu,III SAB/Wr 515/23,Negatywny,Procesowy,"Wniosek nie zawierał dokumentów i informacji niezbędnych do ustalenia przedmiotu żądania oraz rozpoznania sprawy, a braki nie zostały uzupełnione; w konsekwencji termin załatwienia",Bezczynność w sprawie zezwolenia na pobyt czasowy i pracę,"Skarżący nie uzyskał ochrony: WSA oddalił w całości skargę na bezczynność, a NSA następnie oddalił jego skargę kasacyjną, pozostawiając niekorzystny wyrok WSA w mocy.",https://orzeczenia.nsa.gov.pl/doc/A6DC334DC0,II OSK 2538/24,https://orzeczenia.nsa.gov.pl/doc/755DD92288,Nie
2024-07-09,WSA w Gliwicach,III SAB/Gl 135/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Sąd stwierdził bezczynność Wojewody (bez rażącego naruszenia prawa), a część dotycząca zobowiązania organu do działania została umorzona z uwagi na wydanie decyzji; oddalono żądania uboczne o sumę pieniężną/grzywnę (oraz skargę w pozostałym zakresie).",https://orzeczenia.nsa.gov.pl/doc/C0DB545995,II OSK 2925/24,https://orzeczenia.nsa.gov.pl/doc/D93D35D80C,Tak
2024-07-09,WSA w Gliwicach,III SAB/Gl 172/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Sąd uzyskał stwierdzenie bezczynności Wojewody i zobowiązał organ do rozpoznania sprawy w wyznaczonym terminie, zasądzając też zwrot kosztów postępowania sądowego.",https://orzeczenia.nsa.gov.pl/doc/97F12535FC,II OSK 2743/24,https://orzeczenia.nsa.gov.pl/doc/D7B0FF83A2,Tak
2024-07-09,WSA w Gliwicach,III SAB/Gl 177/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody i zobowiązał organ do rozpoznania wniosku w terminie 60 dni od zwrotu akt; odmówił natomiast przyznania sumy pieniężnej i wymierzenia grzywny w ramach żądań ubocznych.,https://orzeczenia.nsa.gov.pl/doc/79D745F74B,II OSK 2719/24,https://orzeczenia.nsa.gov.pl/doc/89F9DB6728,Tak
2024-07-10,WSA w Gliwicach,III SAB/Gl 234/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Sąd stwierdził bezczynność Wojewody i nakazał rozpatrzenie wniosku w terminie 60 dni (oraz przyznał zwrot kosztów postępowania sądowego), przy czym odmówił m.in. przyznania sumy pieniężnej na podstawie art. 149 § 2 p.p.s.a.",https://orzeczenia.nsa.gov.pl/doc/E8B5048621,II OSK 2944/24,https://orzeczenia.nsa.gov.pl/doc/A9E34FB5A1,Tak
2024-07-11,WSA w Gliwicach,III SAB/Gl 139/24,Pozytywny,Merytoryczny,,Pobyt czasowy,"Sąd stwierdził, że Wojewoda dopuścił się bezczynności w rozpoznaniu wniosku o zezwolenie na pobyt czasowy w celu świadczenia pracy (bez rażącego naruszenia), a w części zobowiązania do wydania decyzji postępowanie umorzono; nie przyznano sumy pieniężnej.",https://orzeczenia.nsa.gov.pl/doc/F5944CBE44,II OSK 2923/24,https://orzeczenia.nsa.gov.pl/doc/19053F9A0F,Tak
2024-07-16,WSA w Gliwicach,III SAB/Gl 174/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Sąd uzyskał stwierdzenie bezczynności organu i zobowiązał Wojewodę do rozpatrzenia wniosku o pobyt czasowy w celu pracy w terminie 60 dni; zasądzono też koszty, natomiast nie przyznano sumy pieniężnej.",https://orzeczenia.nsa.gov.pl/doc/A3CB4B1E41,II OSK 2941/24,https://orzeczenia.nsa.gov.pl/doc/6991BE55F7,Tak
2024-07-17,WSA w Gliwicach,II SAB/Gl 92/24,Pozytywny,Merytoryczny,,Pobyt czasowy,"Sąd uznał, że Wojewoda dopuścił się bezczynności w sprawie o zezwolenie na pobyt czasowy (bez rażącego naruszenia prawa) i zasądził zwrot kosztów postępowania; nie przyznał jednak sumy pieniężnej ani nie uwzględnił żądań ubocznych.",https://orzeczenia.nsa.gov.pl/doc/D55EF3CD60,II OSK 2440/24,https://orzeczenia.nsa.gov.pl/doc/253085C06F,Tak
2024-07-17,WSA w Poznaniu,II SAB/Po 88/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Sąd zobowiązał Wojewodę do załatwienia wniosku o zezwolenie na pobyt czasowy w terminie 30 dni oraz stwierdził przewlekłość postępowania.,https://orzeczenia.nsa.gov.pl/doc/AB76369BBD,II OSK 2493/24,https://orzeczenia.nsa.gov.pl/doc/D81B611DF1,Tak
2024-07-17,WSA w Gliwicach,III SAB/Gl 149/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody w sprawie zezwolenia na pobyt czasowy w celu świadczenia pracy i zobowiązano organ do załatwienia sprawy (termin 60 dni od zwrotu akt).,https://orzeczenia.nsa.gov.pl/doc/264EB9EFF5,II OSK 2741/24,https://orzeczenia.nsa.gov.pl/doc/3D0F46955E,Tak
2024-07-17,WSA w Gliwicach,III SAB/Gl 165/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpatrzenia wniosku w terminie 60 dni od zwrotu akt; zasądzono też koszty postępowania sądowego 580 zł.,https://orzeczenia.nsa.gov.pl/doc/CF6962D260,II OSK 2940/24,https://orzeczenia.nsa.gov.pl/doc/3F40EB79FC,Tak
2024-07-18,WSA w Gdańsku,III SAB/Gd 124/24,Pozytywny,Merytoryczny,,Pobyt czasowy,"Sąd zobowiązał Wojewodę do rozpoznania wniosku skarżącego o zezwolenie na pobyt czasowy w terminie 30 dni, stwierdził rażącą bezczynność oraz przyznał skarżącemu 1 000 zł.",https://orzeczenia.nsa.gov.pl/doc/0DB0A0245D,II OSK 2209/24,https://orzeczenia.nsa.gov.pl/doc/44A99ACB9D,Tak
2024-07-23,WSA w Bydgoszczy,II SAB/Bd 50/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Sąd stwierdził bezczynność Wojewody i zobowiązał go do rozpatrzenia wniosku skarżącego o pobyt czasowy w terminie 60 dni; oddalił tylko żądania dodatkowe (np. sumę pieniężną/grzywnę).,https://orzeczenia.nsa.gov.pl/doc/A120CC9E87,II OSK 3049/24,https://orzeczenia.nsa.gov.pl/doc/955D9A4EBB,Tak
2024-07-24,WSA w Poznaniu,IV SAB/Po 84/24,Pozytywny,Merytoryczny,,Pobyt rezydenta długoterminowego UE,Sąd zobowiązał Wojewodę do załatwienia wniosku cudzoziemca o udzielenie zezwolenia na pobyt rezydenta długoterminowego UE w terminie 2 miesięcy oraz stwierdził bezczynność organu.,https://orzeczenia.nsa.gov.pl/doc/CE724B4D23,II OSK 2647/24,https://orzeczenia.nsa.gov.pl/doc/A6772E8785,Tak
2024-07-31,WSA w Gliwicach,II SAB/Gl 113/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Stwierdzono bezczynność Wojewody w sprawie o zezwolenie na pobyt czasowy oraz zobowiązano organ do wydania rozstrzygnięcia w terminie 30 dni.,https://orzeczenia.nsa.gov.pl/doc/14A127B415,II OSK 2694/24,https://orzeczenia.nsa.gov.pl/doc/3E47CB3A6F,Tak
2024-07-31,WSA w Gliwicach,II SAB/Gl 114/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Sąd uznał bezczynność Wojewody i zobowiązał go do wydania decyzji w sprawie wniosku o zezwolenie na pobyt czasowy w terminie 30 dni.,https://orzeczenia.nsa.gov.pl/doc/DC58388DD6,II OSK 2695/24,https://orzeczenia.nsa.gov.pl/doc/27A656D82E,Tak
2024-08-01,WSA w Gliwicach,III SAB/Gl 207/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody oraz przyznano zwrot kosztów postępowania sądowego (597 zł).,https://orzeczenia.nsa.gov.pl/doc/D93FB23BD7,II OSK 3108/24,https://orzeczenia.nsa.gov.pl/doc/D05378B64F,Tak
2024-08-06,WSA w Gliwicach,III SAB/Gl 112/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpoznania wniosku w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem; zasądzono też zwrot kosztów (100 zł).,https://orzeczenia.nsa.gov.pl/doc/930993BF0A,II OSK 3011/24,https://orzeczenia.nsa.gov.pl/doc/40C67524F1,Tak
2024-08-06,WSA w Gliwicach,III SAB/Gl 273/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody w rozpoznaniu wniosku o zezwolenie na pobyt czasowy w celu świadczenia pracy oraz zobowiązano organ do rozpatrzenia wniosku w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem; jednocześnie oddalono skargę w pozostałym zakresie (m.in. w przedmiocie sumy pieniężnej i grzywny).,https://orzeczenia.nsa.gov.pl/doc/49B8569A17,II OSK 2928/24,https://orzeczenia.nsa.gov.pl/doc/332C2DB8E3,Tak
2024-08-07,WSA w Gliwicach,III SAB/Gl 218/24,Pozytywny,Merytoryczny,,Pobyt czasowy,U uzyskał stwierdzenie bezczynności oraz zobowiązanie organu do rozpoznania wniosku o zezwolenie na pobyt czasowy (w celu pracy) w terminie 30 dni; przyznano zwrot kosztów postępowania (597 zł).,https://orzeczenia.nsa.gov.pl/doc/266E1204DD,II OSK 2942/24,https://orzeczenia.nsa.gov.pl/doc/E4AD0D8047,Tak
2024-08-07,WSA w Gliwicach,III SAB/Gl 95/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpatrzenia wniosku o zezwolenie na pobyt czasowy w celu pracy w wyznaczonym terminie.,https://orzeczenia.nsa.gov.pl/doc/CB5909EDFA,II OSK 3107/24,https://orzeczenia.nsa.gov.pl/doc/63E8B41A2B,Tak
2024-08-08,WSA w Gliwicach,III SAB/Gl 230/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano organ do wydania rozstrzygnięcia w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem; nie przyznano natomiast sumy pieniężnej ani nie uwzględniono żądań w zakresie grzywny/sankcji.,https://orzeczenia.nsa.gov.pl/doc/AC96893FD4,II OSK 2943/24,https://orzeczenia.nsa.gov.pl/doc/F17708D52D,Tak
2024-08-08,WSA w Poznaniu,IV SAB/Po 94/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Sąd zobowiązał Wojewodę do rozpoznania wniosku o zezwolenie na pobyt czasowy w terminie 30 dni od otrzymania prawomocnego wyroku z aktami; stwierdził bezczynność organu (bez rażącego naruszenia).,https://orzeczenia.nsa.gov.pl/doc/67D55F5161,II OSK 2887/24,https://orzeczenia.nsa.gov.pl/doc/25895BECAA,Tak
